mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_child_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
8.70863618851,0.118966817856,-0.590805509567,-0.474278144342,5,1,"{'max_depth': 5, 'min_child_weight': 1}",2,-0.596781050396,-0.473210192903,-0.588043104235,-0.476304036478,-0.592174243376,-0.474730808364,-0.584864750048,-0.474784570295,-0.592164399779,-0.472361113671,0.89213683657,0.0160529199556,0.0040583398064,0.00136975456046
8.09028320313,0.124890041351,-0.590666515736,-0.476697817263,5,2,"{'max_depth': 5, 'min_child_weight': 2}",1,-0.596015318347,-0.475266685848,-0.587422878794,-0.47696901308,-0.59430048889,-0.476930462722,-0.583160991736,-0.478716179051,-0.592432900911,-0.475606745614,0.664576688686,0.0148166710335,0.00472841702821,0.00121983850241
7.5725376606,0.12000079155,-0.591130893165,-0.47987984948,5,3,"{'max_depth': 5, 'min_child_weight': 3}",5,-0.598690637235,-0.479193746033,-0.587033636894,-0.481096587204,-0.594365641428,-0.480770364383,-0.584501429093,-0.480601552129,-0.591063121173,-0.477736997653,0.653856509311,0.0143963788423,0.00506666009521,0.00125354490057
7.8804151535,0.119919300079,-0.590860592138,-0.482149888298,5,4,"{'max_depth': 5, 'min_child_weight': 4}",3,-0.596892765464,-0.480699121449,-0.587257754401,-0.483455442097,-0.59388313308,-0.482531423097,-0.583614187465,-0.483351524926,-0.59265512028,-0.480711929921,0.78382769517,0.0137926208382,0.00477983306164,0.00122199990653
7.40849261284,0.113362979889,-0.591045021328,-0.48367409806,5,5,"{'max_depth': 5, 'min_child_weight': 5}",4,-0.597315329513,-0.482123586645,-0.588880726338,-0.485865058243,-0.593819097332,-0.484161411732,-0.583894732028,-0.484456743256,-0.59131522143,-0.481763690422,0.555991227085,0.0110843114706,0.00453643208662,0.00152997108701
9.97389602661,0.143769598007,-0.593348400354,-0.40628390759,6,1,"{'max_depth': 6, 'min_child_weight': 1}",14,-0.596184939506,-0.404573962498,-0.59100010087,-0.409392979182,-0.595339211244,-0.406521943283,-0.58958649511,-0.406315876511,-0.594631255042,-0.404614776474,0.80600695264,0.0123688675121,0.00258152823126,0.0017569245895
10.72377038,0.129253053665,-0.592182448932,-0.413129052789,6,2,"{'max_depth': 6, 'min_child_weight': 2}",7,-0.596802272116,-0.411975542924,-0.587791674434,-0.414298187547,-0.595456616565,-0.414394675819,-0.586417073354,-0.414086513103,-0.594444608188,-0.410890344553,2.60259739981,0.0173297049439,0.00423553445695,0.00143023127949
10.6928966045,0.144569349289,-0.593299841915,-0.41903341401,6,3,"{'max_depth': 6, 'min_child_weight': 3}",13,-0.598316174936,-0.41613077285,-0.588383059761,-0.421312641283,-0.597350920021,-0.420088971992,-0.587067603337,-0.419925754979,-0.595381451522,-0.417708928946,1.23290802011,0.0126616895255,0.004667407713,0.00185929763134
10.1280984402,0.129174184799,-0.591873305296,-0.422313099639,6,4,"{'max_depth': 6, 'min_child_weight': 4}",6,-0.596717518396,-0.419853691191,-0.589000838839,-0.424299939148,-0.594778881894,-0.424192212573,-0.584706646014,-0.422444794548,-0.594162641335,-0.420774860734,0.789426176645,0.0108295161756,0.00439913410192,0.00178386148848
9.21670694351,0.127436828613,-0.593223835361,-0.42779437282,6,5,"{'max_depth': 6, 'min_child_weight': 5}",12,-0.598261129429,-0.426433748648,-0.590217769724,-0.429301508774,-0.59492215869,-0.429705022372,-0.588570844891,-0.42722233028,-0.594147274074,-0.426309254026,0.345817115413,0.0123994714613,0.00345826903637,0.00143569837599
11.027154398,0.146516561508,-0.601413849957,-0.326958770332,7,1,"{'max_depth': 7, 'min_child_weight': 1}",25,-0.609262666592,-0.322435557806,-0.597279246685,-0.330378277084,-0.601882367327,-0.330894401099,-0.595160018807,-0.326262058773,-0.603484950372,-0.324823556897,1.08018776062,0.0160159521767,0.0049460739236,0.00324611185657
11.0370333672,0.147895622253,-0.598642102486,-0.339391845169,7,2,"{'max_depth': 7, 'min_child_weight': 2}",18,-0.604001236404,-0.337400491452,-0.593683277649,-0.342516648196,-0.600505252244,-0.339627989464,-0.593472467302,-0.339604172919,-0.601548278832,-0.337809923815,1.07551299137,0.0179928970728,0.00428841639818,0.00180738518037
12.2176926136,0.160980415344,-0.599314523765,-0.349436493745,7,3,"{'max_depth': 7, 'min_child_weight': 3}",19,-0.606288107632,-0.346612506536,-0.59521243419,-0.351104667988,-0.603310922798,-0.351428375054,-0.592942443686,-0.348211747839,-0.598818710517,-0.349825171306,0.0706328141824,0.00145392717622,0.00494526948444,0.00180977197423
12.2147907734,0.159046888351,-0.597911627541,-0.356336846075,7,4,"{'max_depth': 7, 'min_child_weight': 4}",16,-0.60205756213,-0.354398254498,-0.595298625075,-0.359259294309,-0.601135200065,-0.357023084702,-0.592856264621,-0.355691631741,-0.598210485811,-0.355311965126,0.0810506781433,0.00164838645464,0.00346565970169,0.00168739129632
11.0196314335,0.145383405685,-0.597997058126,-0.365611986912,7,5,"{'max_depth': 7, 'min_child_weight': 5}",17,-0.603720639286,-0.363431376049,-0.595505236707,-0.368464788816,-0.601959259329,-0.367746381569,-0.592498274966,-0.365500225463,-0.596301880341,-0.362917162666,1.22465538724,0.0167504051123,0.00418993645829,0.00222367944324
13.1171307564,0.16661901474,-0.614537043293,-0.243372528836,8,1,"{'max_depth': 8, 'min_child_weight': 1}",30,-0.618857138649,-0.238831088193,-0.61351553838,-0.24421579288,-0.616347966011,-0.24589378297,-0.609749843326,-0.243968224331,-0.614214730098,-0.243953755807,1.19132409102,0.0245362047955,0.003033391059,0.002382653046
13.1113095284,0.145247411728,-0.611568860428,-0.262258436349,8,2,"{'max_depth': 8, 'min_child_weight': 2}",29,-0.614289571293,-0.25783338397,-0.609889915405,-0.264132835744,-0.615829207886,-0.266004552002,-0.604086715261,-0.262811710236,-0.613748892296,-0.260509699795,1.15130247878,0.0151366617059,0.00422153336374,0.00284577004213
13.4143010139,0.165151548386,-0.609700060336,-0.27609863511,8,3,"{'max_depth': 8, 'min_child_weight': 3}",28,-0.612065133086,-0.273687390028,-0.606306689622,-0.278165980337,-0.612030582261,-0.278669016257,-0.605844314511,-0.27684069336,-0.612253582202,-0.273130095566,1.04143181381,0.0135049606642,0.00296402146234,0.00228288220654
12.5266508579,0.146131372452,-0.607211589631,-0.289300568685,8,4,"{'max_depth': 8, 'min_child_weight': 4}",26,-0.611756086815,-0.285835683566,-0.602536813004,-0.291073450921,-0.610906587758,-0.288133396052,-0.602561660234,-0.293640582301,-0.608296800344,-0.287819730585,1.07750446657,0.0186551187813,0.0039738779049,0.00274005225964
12.2372136116,0.152894639969,-0.607361950628,-0.299676003401,8,5,"{'max_depth': 8, 'min_child_weight': 5}",27,-0.610308744795,-0.29718542141,-0.60407335875,-0.300049801332,-0.613491031614,-0.30222679761,-0.601859175839,-0.301205534613,-0.60707744214,-0.297712462038,1.07858748512,0.0161835622913,0.00418151985763,0.00195162676014
13.4638342857,0.158179759979,-0.634108456132,-0.167337811945,9,1,"{'max_depth': 9, 'min_child_weight': 1}",36,-0.635862299337,-0.165149140663,-0.631113916517,-0.168689257868,-0.639266926052,-0.170029296125,-0.629156616193,-0.166989898654,-0.63514252256,-0.165831466415,1.11950116613,0.0163755266975,0.00358449599154,0.00180282531976
14.2816624165,0.170106649399,-0.628088601288,-0.189747102522,9,2,"{'max_depth': 9, 'min_child_weight': 2}",34,-0.631285500749,-0.185393818741,-0.62938016254,-0.19170470366,-0.62919472191,-0.190575708642,-0.620603992408,-0.192490665485,-0.629978628835,-0.188570616085,1.27373563467,0.0170868263557,0.00381322366693,0.00254484294473
13.178106451,0.152520942688,-0.62249323011,-0.210001511025,9,3,"{'max_depth': 9, 'min_child_weight': 3}",33,-0.627956175889,-0.206006935178,-0.623163001346,-0.211355160481,-0.620817234027,-0.213731846203,-0.615500244765,-0.211730862047,-0.625029494522,-0.207182751218,0.031878959414,0.00625963643276,0.00420561087526,0.00292028989661
13.2410647869,0.152517747879,-0.62105078973,-0.225277875338,9,4,"{'max_depth': 9, 'min_child_weight': 4}",32,-0.626096074833,-0.222048928812,-0.61781592693,-0.228942504476,-0.626037527893,-0.22406959415,-0.613399165939,-0.22805898434,-0.621905253056,-0.223269364911,0.181424105245,0.00705791854545,0.00490029082463,0.00272338859627
13.1738159657,0.156979227066,-0.619471808844,-0.238804281692,9,5,"{'max_depth': 9, 'min_child_weight': 5}",31,-0.621127831435,-0.236463279852,-0.615542248318,-0.242453201514,-0.625898530233,-0.239430576686,-0.614970160185,-0.238730745057,-0.619820274047,-0.236943605353,0.157278339982,0.00969350221636,0.00399682056658,0.0021285993036
14.9899038315,0.183406925201,-0.660063366809,-0.109230731432,10,1,"{'max_depth': 10, 'min_child_weight': 1}",40,-0.662378008659,-0.104008332842,-0.658039891302,-0.112738933121,-0.665007893894,-0.108658315042,-0.653440438193,-0.111770190388,-0.661450601999,-0.108977885769,0.213436635838,0.00177866383746,0.00399219170462,0.00304701064537
14.9367007732,0.176750993729,-0.649822054872,-0.13328313005,10,2,"{'max_depth': 10, 'min_child_weight': 2}",39,-0.653148854415,-0.128035746925,-0.652231690399,-0.136605248577,-0.651698891126,-0.135736946176,-0.641999638823,-0.133268735619,-0.650031199595,-0.132768972952,0.322168988366,0.0203060304609,0.00404055410207,0.00299523887102
16.0485033512,0.185137224197,-0.642108775284,-0.153866912986,10,3,"{'max_depth': 10, 'min_child_weight': 3}",38,-0.6446348891,-0.152321402215,-0.642979757264,-0.155536292259,-0.641931165862,-0.155109825445,-0.635757715055,-0.157869641791,-0.645240349139,-0.14849740322,1.260902849,0.0211079031104,0.00338567944658,0.00321165798586
15.5830075741,0.183389425278,-0.637072365622,-0.171257725171,10,4,"{'max_depth': 10, 'min_child_weight': 4}",37,-0.639863185243,-0.169493770541,-0.634283411109,-0.172336033545,-0.644847735073,-0.172597689515,-0.627686114558,-0.172786084194,-0.638681382127,-0.169075048061,1.68581040534,0.0208433559434,0.00577432168645,0.00162294485398
16.8752391815,0.198790025711,-0.633026665158,-0.187150128732,10,5,"{'max_depth': 10, 'min_child_weight': 5}",35,-0.636471880732,-0.182178366765,-0.628637215689,-0.191667210888,-0.635796932393,-0.187947209182,-0.626206364383,-0.189929499607,-0.638020932595,-0.184028357217,1.31097009842,0.000993617389295,0.00469617647515,0.00355606932879
